Country,Region,Happiness Rank,Ladder score,Economy,Social support,Health,Freedom,Trust,Generosity,Dystopia Residual,Year,Emoji,Latitude,Longitude,Population,Percent_Population_aged_0_14,Percent_Population_aged_10_19,Percent_Population_aged_10_24,Percent_Population_aged_15_64,Percent_Population_aged_65_and_older,LifeExpectancy_male,LifeExpectancy_female
Finland,Western Europe,1,7.741,1.844,1.572,0.695,0.859,0.546,0.142,2.082,2024,🤩,63.2467777,25.9209164,5.5,15.0,11.0,17.0,61.0,24.0,80.0,85.0
Denmark,Western Europe,2,7.583,1.908,1.52,0.699,0.823,0.548,0.204,1.881,2024,🤩,55.670249,10.3333283,5.9,16.0,11.0,17.0,63.0,21.0,80.0,84.0
Iceland,Western Europe,3,7.525,1.881,1.617,0.718,0.819,0.182,0.258,2.05,2024,🤩,64.9841821,-18.1059013,0.4,18.0,13.0,19.0,66.0,16.0,82.0,85.0
Sweden,Western Europe,4,7.344,1.878,1.501,0.724,0.838,0.524,0.221,1.658,2024,🤩,59.6749712,14.5208584,10.7,17.0,12.0,18.0,62.0,21.0,82.0,85.0
Israel,Middle East and North Africa,5,7.341,1.803,1.513,0.74,0.641,0.193,0.153,2.298,2024,🤩,30.8124247,34.8594762,9.3,28.0,17.0,24.0,60.0,12.0,82.0,85.0
Netherlands,Western Europe,6,7.319,1.901,1.462,0.706,0.725,0.372,0.247,1.906,2024,🤩,52.2434979,5.6343227,17.7,15.0,11.0,17.0,64.0,21.0,81.0,84.0
Norway,Western Europe,7,7.302,1.952,1.517,0.704,0.835,0.484,0.224,1.586,2024,🤩,64.5731537,11.52803643954820,5.5,16.0,12.0,18.0,65.0,19.0,82.0,85.0
Luxembourg,Western Europe,8,7.122,2.141,1.355,0.708,0.801,0.432,0.146,1.54,2024,🤩,49.6112768,6.129799,0.7,16.0,11.0,16.0,69.0,16.0,81.0,85.0
Switzerland,Western Europe,9,7.06,1.97,1.425,0.747,0.759,0.498,0.173,1.488,2024,🤩,46.7985624,8.2319736,8.9,15.0,10.0,15.0,65.0,20.0,83.0,86.0
Australia,North America and ANZ,10,7.057,1.854,1.461,0.692,0.756,0.323,0.225,1.745,2024,🤩,-24.7761086,134.755,26.7,18.0,12.0,18.0,65.0,18.0,82.0,86.0
New Zealand,North America and ANZ,11,7.029,1.81,1.527,0.673,0.746,0.48,0.226,1.567,2024,🤩,-41.5000831,172.8344077,5.3,18.0,13.0,19.0,65.0,17.0,82.0,85.0
Costa Rica,Latin America and Caribbean,12,6.955,1.561,1.373,0.661,0.797,0.123,0.109,2.333,2024,🤩,10.2735633,-84.0739102,5.2,19.0,14.0,21.0,69.0,12.0,78.0,83.0
Kuwait,Middle East and North Africa,13,6.951,1.845,1.364,0.661,0.827,0.172,0.2,1.884,2024,🤩,29.3796532,47.9734174,4.3,19.0,14.0,19.0,75.0,6.0,79.0,83.0
Austria,Western Europe,14,6.905,1.885,1.336,0.696,0.703,0.305,0.214,1.766,2024,🤩,47.59397,14.12456,9.0,14.0,10.0,15.0,65.0,21.0,81.0,85.0
Canada,North America and ANZ,15,6.9,1.84,1.459,0.701,0.73,0.368,0.23,1.572,2024,🤩,61.0666922,-107.991707,39.1,15.0,11.0,17.0,65.0,20.0,81.0,85.0
Belgium,Western Europe,16,6.894,1.868,1.44,0.69,0.729,0.311,0.17,1.686,2024,🤩,50.6402809,4.6667145,11.7,16.0,12.0,17.0,63.0,20.0,81.0,85.0
Ireland,Western Europe,17,6.838,2.129,1.39,0.7,0.758,0.418,0.205,1.239,2024,🤩,52.865196,-7.9794599,5.1,19.0,14.0,20.0,65.0,16.0,81.0,85.0
Ireland,Western Europe,17,6.838,2.129,1.39,0.7,0.758,0.418,0.205,1.239,2024,🤩,52.865196,-7.9794599,68.0,17.0,12.0,18.0,63.0,20.0,81.0,84.0
Czechia,Central and Eastern Europe,18,6.822,1.783,1.511,0.638,0.787,0.068,0.177,1.858,2024,🤩,49.7439047,15.3381061,10.5,16.0,11.0,16.0,64.0,21.0,77.0,83.0
Lithuania,Central and Eastern Europe,19,6.818,1.766,1.454,0.598,0.533,0.116,0.044,2.307,2024,🤩,55.3500003,23.7499997,2.7,15.0,10.0,15.0,63.0,22.0,73.0,81.0
Slovenia,Central and Eastern Europe,21,6.743,1.786,1.502,0.695,0.789,0.131,0.157,1.683,2024,🤩,46.1199444,14.8153333,2.1,15.0,10.0,15.0,63.0,22.0,80.0,85.0
United Arab Emirates,Middle East and North Africa,22,6.733,1.983,1.164,0.563,0.815,0.258,0.209,1.741,2024,🤩,24.0002488,53.9994829,9.6,15.0,9.0,14.0,83.0,2.0,79.0,83.0
United States,North America and ANZ,23,6.725,1.939,1.392,0.542,0.586,0.169,0.223,1.873,2024,🤩,39.7837304,-100.445882,341.8,17.0,13.0,19.0,65.0,18.0,77.0,82.0
United States,North America and ANZ,23,6.725,1.939,1.392,0.542,0.586,0.169,0.223,1.873,2024,🤩,39.7837304,-100.445882,0.1,19.0,13.0,18.0,60.0,21.0,71.0,82.0
Germany,Western Europe,24,6.719,1.871,1.39,0.702,0.7,0.368,0.174,1.513,2024,🤩,51.1638175,10.4478313,83.3,14.0,9.0,14.0,63.0,23.0,80.0,85.0
Mexico,Latin America and Caribbean,25,6.678,1.521,1.241,0.544,0.722,0.127,0.086,2.437,2024,🤩,19.4326296,-99.1331785,129.4,24.0,17.0,25.0,68.0,9.0,72.0,79.0
Uruguay,Latin America and Caribbean,26,6.611,1.596,1.431,0.592,0.775,0.22,0.106,1.891,2024,🤩,-32.8755548,-56.0201525,3.4,18.0,14.0,21.0,66.0,16.0,75.0,82.0
France,Western Europe,27,6.609,1.818,1.348,0.727,0.65,0.281,0.112,1.672,2024,🤩,46.603354,1.8883335,64.9,17.0,12.0,18.0,61.0,22.0,81.0,86.0
Saudi Arabia,Middle East and North Africa,28,6.594,1.842,1.361,0.511,0.787,0.188,0.114,1.79,2024,🤩,25.6242618,42.3528328,37.5,25.0,16.0,23.0,71.0,3.0,77.0,80.0
Singapore,Southeast Asia,30,6.523,2.118,1.361,0.769,0.743,0.575,0.168,0.788,2024,🤩,1.357107,103.8194992,6.1,12.0,8.0,13.0,71.0,17.0,82.0,87.0
Romania,Central and Eastern Europe,32,6.491,1.699,1.236,0.583,0.717,0.006,0.041,2.21,2024,🤩,45.9852129,24.6859225,4.7,27.0,15.0,21.0,70.0,3.0,78.0,81.0
Romania,Central and Eastern Europe,32,6.491,1.699,1.236,0.583,0.717,0.006,0.041,2.21,2024,🤩,45.9852129,24.6859225,19.6,16.0,11.0,16.0,65.0,19.0,74.0,81.0
El Salvador,Latin America and Caribbean,33,6.469,1.265,1.08,0.549,0.816,0.253,0.083,2.424,2024,🤩,13.8000382,-88.9140683,6.4,25.0,17.0,27.0,67.0,9.0,69.0,78.0
Estonia,Central and Eastern Europe,34,6.448,1.752,1.527,0.657,0.805,0.401,0.166,1.138,2024,🤩,58.7523778,25.3319078,1.3,16.0,11.0,16.0,63.0,21.0,75.0,83.0
Poland,Central and Eastern Europe,35,6.442,1.738,1.417,0.639,0.6,0.175,0.081,1.791,2024,🤩,52.215933,19.134422,40.2,15.0,10.0,16.0,66.0,19.0,75.0,82.0
Spain,Western Europe,36,6.421,1.766,1.471,0.729,0.619,0.177,0.119,1.54,2024,🤩,39.3260685,-4.8379791,47.5,13.0,10.0,16.0,66.0,21.0,82.0,87.0
Serbia,Central and Eastern Europe,37,6.411,1.538,1.391,0.585,0.663,0.101,0.2,1.932,2024,🤩,44.02432285,21.07657433209900,7.1,15.0,10.0,15.0,65.0,21.0,74.0,80.0
Chile,Latin America and Caribbean,38,6.36,1.616,1.369,0.673,0.651,0.075,0.117,1.858,2024,🤩,-31.7613365,-71.3187697,19.7,18.0,12.0,19.0,68.0,14.0,79.0,84.0
Panama,Latin America and Caribbean,39,6.358,1.702,1.392,0.633,0.72,0.043,0.063,1.806,2024,🤩,8.559559,-81.1308434,4.5,26.0,17.0,24.0,65.0,9.0,76.0,82.0
Malta,Western Europe,40,6.346,1.827,1.444,0.707,0.727,0.125,0.25,1.267,2024,🤩,35.8885993,14.4476911,0.5,13.0,8.0,13.0,67.0,20.0,82.0,86.0
Italy,Western Europe,41,6.324,1.8,1.328,0.72,0.513,0.074,0.112,1.777,2024,🤩,42.6384261,12.674297,58.7,12.0,9.0,14.0,63.0,25.0,82.0,86.0
Guatemala,Latin America and Caribbean,42,6.287,1.26,1.169,0.467,0.735,0.078,0.105,2.473,2024,🤩,15.5855545,-90.345759,18.4,31.0,21.0,31.0,64.0,5.0,71.0,77.0
Nicaragua,Latin America and Caribbean,43,6.284,1.097,1.263,0.542,0.793,0.251,0.133,2.203,2024,🤩,12.6090157,-85.2936911,7.1,29.0,19.0,28.0,65.0,6.0,72.0,78.0
Brazil,Latin America and Caribbean,44,6.272,1.43,1.269,0.548,0.685,0.142,0.13,2.068,2024,🤩,-10.3333333,-53.2,217.6,20.0,14.0,21.0,70.0,11.0,73.0,79.0
Slovakia,Central and Eastern Europe,45,6.257,1.706,1.54,0.638,0.566,0.058,0.096,1.653,2024,🤩,48.7411522,19.4528646,5.7,16.0,10.0,16.0,67.0,18.0,75.0,82.0
Latvia,Central and Eastern Europe,46,6.234,1.7,1.508,0.564,0.666,0.078,0.127,1.59,2024,🤩,56.8406494,24.7537645,1.8,15.0,11.0,15.0,62.0,23.0,72.0,80.0
