Country,Happiness Rank,Ladder score,Economy,Social support,Health,Freedom,Trust,Generosity,Dystopia Residual,Year,Emoji,Population,Region,Latitude,Longitude
Cameroon,133,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,1.95071,2015,😡,23012646.0,Africa,7.369722,12.354722
Benin,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63328,2015,😡,10932783.0,Africa,9.30769,2.315834
Ivory Coast,151,3.655,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,1.41723,2015,😡,23596741.0,Africa,7.539989,-5.54708
Madagascar,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,1.851,2015,😡,24850912.0,Africa,-18.766947,46.869107
Morocco,92,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,2.45373,2015,😑,34680458.0,Africa,31.791702,-7.09262
Nigeria,78,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,2.89319,2015,😑,183995785.0,Africa,9.081999,8.675277
Egypt,135,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1.59927,2015,😡,97723799.0,Africa,26.820553,30.802498
Niger,144,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,1.87877,2015,😡,20128124.0,Africa,17.607789,8.081666
South Africa,113,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,1.71956,2015,😑,55876504.0,Africa,-30.559482,22.937506
Zimbabwe,115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2.44191,2015,😑,14154937.0,Africa,-19.015438,29.154857
Japan,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,2015,😑,127141000.0,Asia,36.204824,138.252924
United Arab Emirates,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,2015,🤩,8916899.0,Asia,23.424076,53.847818
Bahrain,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,2015,😑,1362142.0,Asia,25.930414,50.637772
India,117,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,2.27513,2015,😑,1322866505.0,Asia,20.593684,78.96288
Armenia,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873,2015,😡,2878595.0,Asia,40.069099,45.038189
China,84,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,1.8604,2015,😑,1379860000.0,Asia,35.86166,104.195397
Uzbekistan,44,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,2.23741,2015,🤩,31298900.0,Asia,41.377491,64.585262
Iran,110,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,1.6944,2015,😑,81790841.0,Asia,32.427908,53.688046
Hong Kong,72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.65429,2015,😑,7291300.0,Asia,22.396428,114.109497
Georgia,130,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,1.59541,2015,😡,3725276.0,Asia,42.315407,43.356892
Malta,37,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488,2015,🤩,445053.0,Europe,35.937496,14.375416
Czech Republic,31,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,2015,🤩,4819333.0,Europe,49.817492,15.472962
Sweden,8,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,2015,🤩,9799186.0,Europe,60.128161,18.643501
Poland,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,1.86565,2015,😑,37986412.0,Europe,51.919438,19.145136
Belgium,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,2015,🤩,11274196.0,Europe,50.503887,4.469936
Finland,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,2015,🤩,5479531.0,Europe,61.92411,25.748151
Moldova,52,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,2015,😑,2835978.0,Europe,47.411631,28.369885
Austria,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,2015,🤩,8642699.0,Europe,47.516231,14.550072
Slovenia,55,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,1.61583,2015,😑,2063531.0,Europe,46.151241,14.995463
Netherlands,7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,2015,🤩,16939923.0,Europe,52.132633,5.291266
Panama,25,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,2015,🤩,3957099.0,North America,8.537981,-80.782127
Nicaragua,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2.32407,2015,😑,6298598.0,North America,12.865416,-85.207229
United States,15,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,2015,🤩,320738994.0,North America,37.09024,-95.712891
Mexico,14,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,2015,🤩,120149897.0,North America,23.634501,-102.552784
Nicaragua,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2.32407,2015,😑,6298598.0,North America,12.865416,-85.207229
Canada,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,2015,🤩,35702908.0,North America,56.130366,-106.346771
Honduras,105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.84408,2015,😑,9294505.0,North America,15.199999,-86.241905
Honduras,105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.84408,2015,😑,9294505.0,North America,15.199999,-86.241905
Honduras,105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.84408,2015,😑,9294505.0,North America,15.199999,-86.241905
Honduras,105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.84408,2015,😑,9294505.0,North America,15.199999,-86.241905
New Zealand,9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,2015,🤩,4609400.0,Oceania,-40.900557,174.885971
Australia,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,2015,🤩,23815995.0,Oceania,-25.274398,133.775136
Brazil,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,2015,🤩,205188205.0,South America,-14.235004,-51.92528
Venezuela,23,6.81,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,3.19131,2015,🤩,30529716.0,South America,6.42375,-66.58973
