Country,2024,2023
India,1439665273,1428627663
China,1425278165,1425671352
United States,341529256,339996563
Indonesia,279444965,277534122
Pakistan,244461197,240485658
Nigeria,228298723,223804632
Brazil,217449019,216422446
Bangladesh,174426535,172954319
Russia,144032490,144444359
Ethiopia,129212317,126527060
Mexico,129242639,128455567
Japan,122736808,123294513
Philippines,118826554,117337368
Egypt,114200087,112716598
DR Congo,105085250,102262808
Vietnam,99399296,98858950
Iran,89711896,89172767
Turkey,86190999,85816199
Germany,83259965,83294633
Thailand,71874313,71801279
Tanzania,69102946,67438106
United Kingdom,67925981,67736802
France,64862353,64756584
South Africa,60914845,60414495
Italy,58725711,58870762
Kenya,56026738,55100586
Myanmar,54904765,54577997
Colombia,52299822,52085168
South Korea,51749454,51784059
Uganda,49710504,48582334
Sudan,49159962,48109006
Spain,47481364,47519628
Iraq,46361848,45504560
Algeria,46174873,45606480
Argentina,46013418,45773884
Afghanistan,43192662,42239854
Poland,40333594,41026067
Canada,39055607,38781291
Morocco,38153527,37840044
Ukraine,37774014,36744634
Angola,37625845,36684202
Saudi Arabia,37391526,36947025
Uzbekistan,35595396,35163944
Yemen,35095999,34449825
Mozambique,34705083,33897354
Ghana,34672646,34121985
Peru,34631006,34352719
Malaysia,34614962,34308525
Nepal,31186379,30896590
Madagascar,30939748,30325732
Ivory Coast,29486939,28873034
Venezuela,29308436,28838499
Cameroon,29275074,28647293
Niger,28071170,27202843
Australia,26658530,26439111
North Korea,26232097,26160821
Syria,24172260,23227014
Mali,23899426,23293698
Taiwan,23946219,23923276
Burkina Faso,23746358,23251485
Sri Lanka,21940778,21893579
Malawi,21388565,20931751
Zambia,21044302,20569737
Kazakhstan,19791708,19606633
Chile,19654344,19629590
Romania,19653955,19892812
Chad,18756255,18278568
Somalia,18616529,18143378
Ecuador,18347902,18190484
Guatemala,18314482,18092026
Senegal,18148154,17763163
Netherlands,17663134,17618299
Cambodia,17094379,16944826
Zimbabwe,16963888,16665409
Guinea,14474834,14190612
Rwanda,14363970,14094683
Benin,14021141,13712828
Burundi,13535224,13238559
Bolivia,12538870,12388571
Tunisia,12548208,12458223
Haiti,11844556,11724763
Belgium,11711279,11686140
Dominican Republic,11418024,11332972
Jordan,11376432,11337052
South Sudan,11246628,11088796
Cuba,11178083,11194449
Honduras,10733437,10593798
Sweden,10664180,10612086
Papua New Guinea,10486323,10329931
Czech Republic,10502735,10495295
Azerbaijan,10455413,10412651
Tajikistan,10302048,10143543
Greece,10308713,10341277
Portugal,10227344,10247605
Hungary,10017467,10156239
